date,open,close,high,low,volume,code
2012-05-04,226.5,234.0,234.88,226.5,31879.0,600519
2012-05-07,234.8,234.51,237.76,233.28,34244.0,600519
2012-05-08,234.45,234.11,234.85,229.38,36664.0,600519
2012-05-09,231.12,230.83,232.65,227.2,32909.0,600519
2012-05-10,231.0,227.7,231.0,226.95,30574.0,600519
2012-05-11,228.0,227.69,228.5,225.9,23260.0,600519
2012-05-14,228.0,222.18,228.0,220.61,38797.0,600519
2012-05-15,221.1,223.11,223.66,220.1,16168.0,600519
2012-05-16,222.95,220.02,223.4,218.0,28139.0,600519
2012-05-17,220.12,219.91,221.4,218.61,34172.0,600519
2012-05-18,218.67,217.92,219.97,215.9,26277.0,600519
2012-05-21,217.58,223.19,224.52,217.58,28843.0,600519
2012-05-22,225.01,229.28,231.5,225.01,41458.0,600519
2012-05-23,229.25,230.47,232.1,228.0,24722.0,600519
2012-05-24,229.8,220.24,232.77,217.88,53743.0,600519
2012-05-25,220.24,218.58,220.87,216.0,30569.0,600519
2012-05-28,218.01,225.49,225.9,217.81,27833.0,600519
2012-05-30,227.51,228.66,229.98,227.0,25700.0,600519
2012-05-31,228.2,236.68,237.8,228.0,37367.0,600519
2012-06-01,238.0,240.37,243.0,236.71,38504.0,600519
